prefecture_code,prefecture_name,target_year,target_month,base_year,release_type,total_guests,average_occupancy_rate,average_facilities,facilities,foreign_share_pct,demand_vs_base_pct,occupancy_vs_base_pp,foreign_vs_base_pct,demand_ltm_yoy_pct,foreign_ltm_yoy_pct,japanese_ltm_yoy_pct,occupancy_ltm_yoy_pp,facility_ltm_yoy_pct,facility_yoy_pct,foreign_share_yoy_pp,recent_demand_yoy_pct,recent_occupancy_yoy_pp,monthly_cv,peak_month_share_pct,seasonal_occupancy_cv,occupancy_seasonal_range_pp,top3_demand_share_pct
1,北海道,2025,12,2019,final,46503610.0,61.25,5035.25,5113.0,28.60558567388639,125.7417783428358,-4.075000000000003,151.07766355182645,4.201574285137455,29.0042068391684,-3.2513295992945723,1.6333333333333329,3.421539093523207,2.711932503013248,5.499772820174716,0.046409022995441696,-1.1333333333333329,0.15876135767214095,10.787141041308406,0.11464181644593323,23.5,29.68689957618344
2,青森県,2025,12,2019,final,5077320.0,61.0,504.1666666666667,502.0,10.692451923455682,110.23800528900642,4.424999999999997,152.26195484504277,12.515539994016688,31.36130468447542,10.615548622071724,3.2333333333333343,-3.106982703395267,-3.2755298651252374,1.5339938454288458,14.711436124557963,5.4666666666666615,0.1900280398596787,11.510206171759906,0.15620292894851084,30.1,31.233603554631184
3,岩手県,2025,12,2019,final,5551590.0,55.016666666666666,613.0,611.0,8.101282695588111,88.4480146319625,-0.7083333333333357,130.75648331201302,-5.5403839576942175,16.394927536231883,-7.084018569209283,1.6916666666666629,-4.813664596273293,-5.124223602484468,1.5267345681603013,-13.966684151942788,-1.1000000000000014,0.12589809957766473,11.294061701242347,0.10595358067998459,19.700000000000003,29.428686196206854
4,宮城県,2025,12,2019,final,10417380.0,60.108333333333334,704.5,701.0,9.64839527789137,95.27423381897002,2.575000000000003,178.5243601356992,1.4782336787902972,29.422747582441634,-0.808829573549219,2.6500000000000057,-6.616591185242459,-8.723958333333337,2.0832482776585532,4.486395625912043,4.366666666666667,0.12142595519882676,10.53067085965953,0.09424435390047263,20.800000000000004,29.292970017413207
5,秋田県,2025,12,2019,final,2994410.0,48.05,549.9166666666666,553.0,4.954899295687632,81.9497203034516,-4.2833333333333385,106.4423559796255,-4.926386776607606,24.02407422887236,-6.069427117368664,-0.5333333333333385,0.06065200909779467,0.18115942028984477,1.156603020323058,-6.973024329817557,0.6999999999999957,0.23136224708116881,12.013384940605997,0.1750479549294337,25.199999999999996,32.862567250309745
6,山形県,2025,12,2019,final,4739560.0,50.30833333333334,754.0,753.0,6.5944940036627875,85.06243875474259,-1.0083333333333258,133.528431665741,-2.831873284280062,22.037405802194378,-4.21003206695546,1.0333333333333385,-1.5451577801958716,-2.080624187256175,1.343852819003656,0.15398573342988442,-0.7666666666666657,0.14442842260145197,11.321093097249534,0.093854481667053,15.099999999999994,29.87619103883061
7,福島県,2025,12,2019,final,9599100.0,49.141666666666666,1553.9166666666667,1562.0,3.7476430081986853,75.83784979537663,-2.81666666666667,167.57033724613376,0.6187585625681891,11.00688122936402,0.25347222222222854,4.758333333333333,-3.011546863622183,-3.101736972704716,0.35070776558516137,0.76846506072068,3.4666666666666686,0.12803450202017824,10.920190434519903,0.09306512897647777,17.300000000000004,29.452657019928953
8,茨城県,2025,12,2019,final,7269120.0,54.083333333333336,888.0,894.0,4.2921288959323824,115.38560441915284,-5.441666666666663,143.51425942962283,-0.01196700408115925,12.416228291417465,-0.5052592438987813,-0.875,7.679870654810039,6.428571428571428,0.4745170422709606,2.7693413893390195,-0.5,0.1193864342459845,10.774481642894877,0.05765018530959062,10.5,28.67541050360979
9,栃木県,2025,12,2019,final,11092840.0,55.18333333333333,1613.9166666666667,1648.0,4.289253248041079,116.03546910156727,4.541666666666664,134.08860331416977,-5.005664802947929,-1.1632737847943497,-5.170878450013705,2.549999999999997,4.449358213784915,2.7431421446383997,0.16674963635454265,-9.239112139379301,0.56666666666667,0.17533782180960295,11.641563386833308,0.10983239394072283,21.200000000000003,30.746229099130613
10,群馬県,2025,12,2019,final,8766180.0,46.733333333333334,1539.75,1562.0,4.109771873267489,101.36116719045933,-7.283333333333331,123.16923076923077,-10.101710350089533,-16.696725860155382,-9.795637607659401,2.758333333333333,2.0208712936889084,1.8917155903457328,-0.32536547364910184,-16.099630797215948,0.6000000000000014,0.14308334162200406,11.695288027396197,0.07324107077314372,14.0,29.723094894241274
11,埼玉県,2025,12,2019,final,5403290.0,66.625,363.3333333333333,363.0,5.188690594063987,99.38821495249745,-3.5999999999999943,127.7208327638832,-3.096165124024153,23.132329043875455,-4.212787758215786,4.158333333333331,-8.30704521556257,-9.022556390977442,1.1052462179688778,-1.0637932337802414,5.533333333333331,0.09062474850130182,9.789035939214811,0.06834386333098846,17.199999999999996,27.697384371373733
